,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
23,301308.SZ,2025-07-01,87.98988206658154,92.12987651771971,85.04988600707762,85.08988595346544,87.49,-2.4,-2.7432,140730.77,1251164.69,85.09,87.99,92.13,85.05,forward_adjusted
24,301308.SZ,2025-07-02,84.09986799399879,84.59986720918309,81.87987147858051,83.19986940666706,85.09,-1.89,-2.2212,92261.47,768556.642,83.2,84.1,84.6,81.88,forward_adjusted
25,301308.SZ,2025-07-03,83.0998695636302,85.84986524714382,82.80987001882332,85.7998653256254,83.2,2.6,3.125,78176.47,659955.182,85.8,83.1,85.85,82.81,forward_adjusted
26,301308.SZ,2025-07-04,84.99989056216556,85.4998899184136,82.57989367792509,83.64989230029587,85.8,-2.15,-2.5058,73979.25,620991.934,83.65,85.0,85.5,82.58,forward_adjusted
27,301308.SZ,2025-07-07,83.61987186471706,84.19987097595283,81.57987499071534,82.4998735809514,83.65,-1.15,-1.3748,54177.65,448261.543,82.5,83.62,84.2,81.58,forward_adjusted
28,301308.SZ,2025-07-08,83.5298695071139,84.95986727312817,83.02987028822778,83.67986927277974,82.5,1.18,1.4303,59266.16,497895.777,83.68,83.53,84.96,83.03,forward_adjusted
29,301308.SZ,2025-07-09,83.87991070586546,83.88991069522,81.60991312238531,81.97991272850322,83.68,-1.7,-2.0315,54784.35,452616.135,81.98,83.88,83.89,81.61,forward_adjusted
30,301308.SZ,2025-07-10,81.47993323362479,82.1799326600305,80.37993413498724,80.52993401207418,81.98,-1.45,-1.7687,53291.59,431860.313,80.53,81.48,82.18,80.38,forward_adjusted
31,301308.SZ,2025-07-11,80.55995017056938,82.06994923657682,79.79995064065834,81.58994953347512,80.53,1.06,1.3163,53936.16,437033.72,81.59,80.56,82.07,79.8,forward_adjusted
32,301308.SZ,2025-07-14,81.59994731077192,83.38994615496655,80.68994789836013,81.35994746574025,81.59,-0.23,-0.2819,41528.34,340516.645,81.36,81.6,83.39,80.69,forward_adjusted
33,301308.SZ,2025-07-15,80.99997865333462,82.56997823957826,79.9999789168737,81.8499784293264,81.36,0.49,0.6023,51807.0,421499.306,81.85,81.0,82.57,80.0,forward_adjusted
34,301308.SZ,2025-07-16,82.00999380034811,84.18999363554819,81.71999382227104,83.26999370509678,81.85,1.42,1.7349,58912.44,489703.091,83.27,82.01,84.19,81.72,forward_adjusted
35,301308.SZ,2025-07-17,83.1300316745815,83.53003182699138,82.50003143453596,83.22003170887372,83.27,-0.05,-0.06,44781.25,371792.609,83.22,83.13,83.53,82.5,forward_adjusted
36,301308.SZ,2025-07-18,83.11999425398503,83.72999421181625,81.00999439984754,81.34999437634362,83.22,-1.87,-2.2471,51352.42,421568.811,81.35,83.12,83.73,81.01,forward_adjusted
37,301308.SZ,2025-07-21,81.87001259967882,81.96001261352967,80.68001241653947,81.3800125242685,81.35,0.03,0.0369,38580.47,314085.937,81.38,81.87,81.96,80.68,forward_adjusted
38,301308.SZ,2025-07-22,81.53000971624093,82.20000979608739,80.95000964712011,81.2100096781053,81.38,-0.17,-0.2089,34956.8,284862.045,81.21,81.53,82.2,80.95,forward_adjusted
39,301308.SZ,2025-07-23,81.29997213435779,82.92997157567396,81.06997221319048,81.67997200411249,81.21,0.47,0.5787,45947.49,376264.6,81.68,81.3,82.93,81.07,forward_adjusted
40,301308.SZ,2025-07-24,81.7999474010605,86.75994421168717,81.7999474010605,85.78994483541543,81.68,4.11,5.0318,104606.38,883390.013,85.79,81.8,86.76,81.8,forward_adjusted
